Average fitness: 0.1371875 Average size: 16.62
 Generation 0
0 ((Math.exp(regionNeighbourAllegianceScore)-(regionNeighbourAllegianceScore-numToSoldiers))-Math.sqrt(Math.exp(allegiance))) 0.09375
1 (allegiance/regionNeighbourAllegianceScore) 0.08125000000000004
2 Math.sqrt((Math.exp((1/(superRegionAllegianceScore)/(numToSoldiers+regionNeighbourAllegianceScore)))*((0-(numFromSoldiers)*Math.sqrt(numToSoldiers))+((numToSoldiers+superRegionAllegianceScore)/(allegiance-superRegionAllegianceScore))))) 0.16249999999999998
3 Math.exp(numFromSoldiers) 0.13124999999999998
4 Math.exp((((Math.exp(regionNeighbourAllegianceScore)+(numToSoldiers+numToSoldiers))+1/(0-(numToSoldiers)))-((0-(numFromSoldiers)-(allegiance/superRegionAllegianceScore))-0-((allegiance/allegiance))))) 0.15937500000000004
5 (0-(numFromSoldiers)/(numToSoldiers+allegiance)) 0.08125000000000004
6 1/((allegiance/numFromSoldiers)) 0.125
7 (1/(0-(allegiance))/0-((allegiance/superRegionAllegianceScore))) 0.11562499999999998
8 ((allegiance/allegiance)*Math.exp(allegiance)) 0.171875
9 (numFromSoldiers-(numFromSoldiers*(regionNeighbourAllegianceScore/((Math.exp(((numToSoldiers-allegiance)-(numFromSoldiers-allegiance)))+(numToSoldiers/((allegiance+numFromSoldiers)-allegiance)))-Math.exp(superRegionAllegianceScore))))) 0.14687499999999998
10 superRegionAllegianceScore 0.14687499999999998
11 (1/((numToSoldiers*numFromSoldiers))-numToSoldiers) 0.13749999999999996
12 Math.sqrt(1/(Math.sqrt(Math.exp(1/(((1/(regionNeighbourAllegianceScore)/Math.sqrt(numToSoldiers))/Math.exp(0-(numToSoldiers)))))))) 0.11875000000000002
13 (superRegionAllegianceScore-regionNeighbourAllegianceScore) 1.0
14 1/((allegiance-numToSoldiers)) 0.26875000000000004
15 numFromSoldiers 0.09687500000000004
