Average fitness: 0.6787767857142856 Average size: 18.22
 Generation 0
28 1/(((((((Math.exp(numToSoldiers)+(numToSoldiers+regionNeighbourAllegianceScore))/((superRegionAllegianceScore/superRegionAllegianceScore)-1/(superRegionAllegianceScore)))-1/(((regionNeighbourAllegianceScore/regionNeighbourAllegianceScore)/Math.sqrt(regionNeighbourAllegianceScore))))/Math.exp(Math.exp(((regionNeighbourAllegianceScore/superRegionAllegianceScore)-1/(allegiance)))))-(Math.sqrt((1/((regionNeighbourAllegianceScore/numFromSoldiers))*Math.sqrt(0-(allegiance))))+(1/((Math.exp(numFromSoldiers)-(numFromSoldiers/numToSoldiers)))*0-((0-(regionNeighbourAllegianceScore)/(superRegionAllegianceScore/allegiance))))))*1/((((1/((numFromSoldiers-allegiance))/0-((numFromSoldiers-superRegionAllegianceScore)))-1/(1/((numFromSoldiers+superRegionAllegianceScore))))/Math.exp((Math.exp((regionNeighbourAllegianceScore+allegiance))-((allegiance+superRegionAllegianceScore)/(regionNeighbourAllegianceScore+numToSoldiers)))))))) 0.8333333333333334
29 1/(allegiance) 0.9047619047619048
30 (Math.sqrt(0-(Math.exp((regionNeighbourAllegianceScore-superRegionAllegianceScore))))+((((regionNeighbourAllegianceScore+numToSoldiers)+1/(numFromSoldiers))+((numFromSoldiers+regionNeighbourAllegianceScore)-(regionNeighbourAllegianceScore*numFromSoldiers)))*((1/(numFromSoldiers)+(allegiance/superRegionAllegianceScore))*Math.exp(Math.sqrt(regionNeighbourAllegianceScore))))) 0.8095238095238095
31 (1/(0-((Math.sqrt(numToSoldiers)*(regionNeighbourAllegianceScore/superRegionAllegianceScore))))*1/(0-(1/(1/(numToSoldiers))))) 0.9285714285714286
32 (Math.sqrt(0-((0-(1/(Math.exp(allegiance)))+Math.sqrt(1/((regionNeighbourAllegianceScore+numToSoldiers))))))*Math.exp((Math.exp((Math.sqrt(0-(regionNeighbourAllegianceScore))-Math.sqrt((numFromSoldiers+superRegionAllegianceScore))))+0-((Math.exp(0-(numFromSoldiers))-Math.sqrt((superRegionAllegianceScore/regionNeighbourAllegianceScore))))))) 0.33125000000000004
33 (((Math.exp((numFromSoldiers+0-(regionNeighbourAllegianceScore)))+Math.sqrt(superRegionAllegianceScore))+numToSoldiers)*regionNeighbourAllegianceScore) 0.8095238095238095
34 0-(numFromSoldiers) 0.7380952380952381
35 (Math.sqrt(1/(Math.exp((Math.exp((Math.exp(allegiance)+(numFromSoldiers*numToSoldiers)))-Math.exp((1/(numToSoldiers)+(superRegionAllegianceScore*numToSoldiers)))))))-0-((Math.sqrt((1/((Math.exp(superRegionAllegianceScore)/(superRegionAllegianceScore*numToSoldiers)))+Math.sqrt(1/((numToSoldiers*numToSoldiers)))))+(0-(Math.exp(1/((numFromSoldiers-regionNeighbourAllegianceScore))))*((0-((regionNeighbourAllegianceScore*numFromSoldiers))/0-((numFromSoldiers/allegiance)))-Math.sqrt(1/(1/(numToSoldiers)))))))) 0.8571428571428572
36 (numToSoldiers*((((regionNeighbourAllegianceScore+superRegionAllegianceScore)+(((regionNeighbourAllegianceScore*Math.exp(numFromSoldiers))/numFromSoldiers)+allegiance))*Math.exp(Math.exp(allegiance)))+1/(0-(allegiance)))) 0.24062499999999998
37 (numToSoldiers+numFromSoldiers) 1.0
38 (numToSoldiers/Math.sqrt(Math.sqrt(Math.sqrt((allegiance+(0-((superRegionAllegianceScore*allegiance))+regionNeighbourAllegianceScore)))))) 0.125
