Average fitness: 0.5886755952380953 Average size: 21.05
 Generation 0
6 (Math.exp(numFromSoldiers)*(numFromSoldiers/(Math.sqrt((regionNeighbourAllegianceScore+((Math.exp(Math.exp(regionNeighbourAllegianceScore))-superRegionAllegianceScore)+((1/(regionNeighbourAllegianceScore)+Math.exp(numFromSoldiers))*Math.exp((numToSoldiers*regionNeighbourAllegianceScore))))))/(numToSoldiers*regionNeighbourAllegianceScore)))) 0.6428571428571428
7 (Math.exp(numFromSoldiers)*(numFromSoldiers/(Math.sqrt((regionNeighbourAllegianceScore+((Math.exp(Math.exp(regionNeighbourAllegianceScore))-superRegionAllegianceScore)+((1/(regionNeighbourAllegianceScore)+Math.exp(numFromSoldiers))*Math.exp((allegiance-numFromSoldiers))))))/(allegiance-numFromSoldiers)))) 0.8333333333333334
8 (Math.sqrt(0-(0-(1/(allegiance))))/(1/(((numToSoldiers/numFromSoldiers)*1/(superRegionAllegianceScore)))*((Math.exp(allegiance)-(numFromSoldiers*allegiance))/((numToSoldiers/numToSoldiers)-Math.exp(numFromSoldiers))))) 0.7380952380952381
9 Math.sqrt(0-((Math.sqrt((((0-(numToSoldiers)/0-(numToSoldiers))*0-((numFromSoldiers-regionNeighbourAllegianceScore)))*(0-((numToSoldiers/numFromSoldiers))+0-((superRegionAllegianceScore-allegiance)))))+(1/(0-((Math.exp(numToSoldiers)+(allegiance-numToSoldiers))))*Math.exp(((0-(numToSoldiers)*(superRegionAllegianceScore*regionNeighbourAllegianceScore))+(Math.sqrt(superRegionAllegianceScore)+(superRegionAllegianceScore+regionNeighbourAllegianceScore)))))))) 0.7619047619047619
10 Math.exp(1/(1/(((regionNeighbourAllegianceScore-Math.exp(numFromSoldiers))*Math.sqrt(allegiance))))) 0.5714285714285714
11 (0-(1/((Math.sqrt(((regionNeighbourAllegianceScore/numToSoldiers)+allegiance))/numFromSoldiers)))-(Math.sqrt(1/(1/(Math.exp((1/(allegiance)+superRegionAllegianceScore)))))-(regionNeighbourAllegianceScore/Math.sqrt(allegiance)))) 0.15312499999999996
12 (Math.sqrt(0-(0-(1/(allegiance))))/(1/(((numToSoldiers/numFromSoldiers)*1/(superRegionAllegianceScore)))*(1/(1/(numFromSoldiers))+allegiance))) 0.5714285714285714
13 0-(Math.exp(((Math.exp(allegiance)-(superRegionAllegianceScore-allegiance))/((numToSoldiers/numToSoldiers)-Math.exp(numFromSoldiers))))) 0.6666666666666667
14 numFromSoldiers 0.7857142857142857
15 0-(Math.exp((1/(1/((Math.sqrt(0-(0-(1/(allegiance))))/(1/(((numToSoldiers/numFromSoldiers)*1/(superRegionAllegianceScore)))*((Math.exp(allegiance)-(superRegionAllegianceScore-allegiance))/((numToSoldiers/numToSoldiers)-Math.exp(numFromSoldiers)))))))+allegiance))) 0.38749999999999996
16 (0-(1/((Math.sqrt(((regionNeighbourAllegianceScore/numToSoldiers)+allegiance))/numFromSoldiers)))-(Math.sqrt(((numToSoldiers/numFromSoldiers)*1/(superRegionAllegianceScore)))-(regionNeighbourAllegianceScore/Math.sqrt(Math.exp(numFromSoldiers))))) 0.7857142857142857
17 (Math.sqrt(0-(0-(1/(allegiance))))/(1/(1/(1/(Math.exp((1/(allegiance)+superRegionAllegianceScore)))))*((Math.exp(allegiance)-(superRegionAllegianceScore-allegiance))/((numToSoldiers/numToSoldiers)-Math.exp(numFromSoldiers))))) 0.7857142857142857
18 Math.sqrt(0-(1/(numFromSoldiers))) 0.271875
19 0-(Math.exp((1/(1/(numFromSoldiers))+allegiance))) 0.12693452380952386
Average fitness: 0.4465922619047619 Average size: 10.55
 Generation 2
0 0-(Math.exp((1/(1/(1/(numFromSoldiers)))+allegiance))) 0.17500000000000004
1 0-(Math.exp((1/(numFromSoldiers)+allegiance))) 0.15625
